epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2527.06,0.5612,0.3474,0.99506,0.98523,0.98312,0.99421,0.90639,0.47451,0.22076,0.95895,0.005842,0.005842,0.005842
44,2585.42,0.55977,0.34629,0.99592,0.98849,0.97911,0.99295,0.90261,0.47807,0.23658,0.96357,0.005743,0.005743,0.005743
45,2643.69,0.55771,0.3441,0.99373,0.97721,0.97994,0.99253,0.90235,0.47545,0.23769,0.96139,0.005644,0.005644,0.005644
46,2702.03,0.55232,0.33851,0.99059,0.98075,0.98322,0.9928,0.90709,0.47321,0.23187,0.96238,0.005545,0.005545,0.005545
47,2760.3,0.55793,0.33913,0.99266,0.97843,0.98037,0.99057,0.90823,0.46713,0.23745,0.95691,0.005446,0.005446,0.005446
48,2818.86,0.55655,0.337,0.99174,0.98058,0.98134,0.98874,0.90343,0.47354,0.25125,0.9617,0.005347,0.005347,0.005347
49,2876.83,0.55672,0.33621,0.99428,0.98466,0.9797,0.98859,0.90273,0.47172,0.23799,0.95889,0.005248,0.005248,0.005248
50,2935.08,0.55283,0.32754,0.98974,0.97875,0.98446,0.99083,0.90893,0.47244,0.23838,0.95655,0.005149,0.005149,0.005149
51,2993.26,0.55402,0.32909,0.99095,0.99016,0.98031,0.99356,0.90616,0.4789,0.21528,0.96622,0.00505,0.00505,0.00505
52,3052.17,0.5462,0.32579,0.98744,0.98484,0.97838,0.98806,0.90546,0.46755,0.23122,0.95516,0.004951,0.004951,0.004951
53,3110.86,0.54683,0.32514,0.98772,0.98207,0.97962,0.98939,0.90695,0.46396,0.22916,0.952,0.004852,0.004852,0.004852
54,3169.12,0.54233,0.32102,0.98511,0.98575,0.98442,0.99284,0.91201,0.46271,0.2176,0.95167,0.004753,0.004753,0.004753
55,3227.4,0.54347,0.32019,0.98703,0.99223,0.97483,0.99138,0.90977,0.46002,0.22482,0.95208,0.004654,0.004654,0.004654
56,3285.97,0.54591,0.3167,0.98922,0.98265,0.98448,0.99278,0.91241,0.46777,0.22087,0.95323,0.004555,0.004555,0.004555
57,3344.62,0.54026,0.3142,0.9847,0.98466,0.98414,0.99001,0.91068,0.46527,0.22565,0.95328,0.004456,0.004456,0.004456
58,3403.04,0.53649,0.31644,0.98199,0.98105,0.98458,0.98713,0.90662,0.46099,0.23458,0.94875,0.004357,0.004357,0.004357
59,3461.28,0.54188,0.31498,0.98493,0.98583,0.979,0.99395,0.91387,0.45854,0.21459,0.94751,0.004258,0.004258,0.004258
60,3519.79,0.53894,0.30548,0.98341,0.98108,0.99074,0.99343,0.91349,0.46017,0.20596,0.94766,0.004159,0.004159,0.004159
61,3578.64,0.53701,0.30282,0.98245,0.98452,0.98354,0.99153,0.91151,0.46444,0.22005,0.95056,0.00406,0.00406,0.00406
62,3636.88,0.5364,0.29898,0.98394,0.98995,0.98148,0.99161,0.91306,0.46287,0.21696,0.94979,0.003961,0.003961,0.003961
63,3695.16,0.53216,0.29801,0.98016,0.98473,0.98604,0.99338,0.91402,0.46157,0.20981,0.94858,0.003862,0.003862,0.003862
64,3753.76,0.53364,0.30194,0.98489,0.98827,0.98322,0.99422,0.91678,0.45922,0.20647,0.94731,0.003763,0.003763,0.003763
65,3812.47,0.52423,0.29809,0.97912,0.98603,0.98129,0.99353,0.91549,0.46275,0.21307,0.94932,0.003664,0.003664,0.003664
66,3871.03,0.5329,0.29979,0.9824,0.98391,0.98135,0.99178,0.91399,0.45853,0.21323,0.94547,0.003565,0.003565,0.003565
67,3929.45,0.52742,0.29652,0.97707,0.98515,0.9813,0.99168,0.91465,0.45736,0.21975,0.94458,0.003466,0.003466,0.003466
68,3988,0.52277,0.29623,0.97617,0.98279,0.98429,0.98982,0.9134,0.45996,0.21985,0.94814,0.003367,0.003367,0.003367
69,4046.75,0.53171,0.2934,0.98031,0.98096,0.98486,0.98826,0.91061,0.45675,0.21899,0.94483,0.003268,0.003268,0.003268
70,4105.17,0.52408,0.29263,0.97637,0.98131,0.98537,0.98692,0.91157,0.45758,0.22519,0.94406,0.003169,0.003169,0.003169
71,4163.66,0.51971,0.29052,0.97496,0.98407,0.98398,0.98764,0.91174,0.45815,0.21898,0.94512,0.00307,0.00307,0.00307
72,4222.24,0.52275,0.28864,0.97513,0.98306,0.98202,0.9865,0.90876,0.46016,0.22766,0.94731,0.002971,0.002971,0.002971
73,4281.1,0.52148,0.28831,0.97474,0.97826,0.98675,0.98908,0.9137,0.45791,0.21864,0.94389,0.002872,0.002872,0.002872
74,4339.39,0.51453,0.2817,0.97394,0.98268,0.98021,0.98879,0.91294,0.45664,0.22412,0.94483,0.002773,0.002773,0.002773
75,4397.77,0.51793,0.28864,0.97565,0.98471,0.9833,0.9912,0.91473,0.46116,0.21652,0.94854,0.002674,0.002674,0.002674
76,4456.53,0.51564,0.27834,0.97613,0.98591,0.98419,0.9897,0.91452,0.45713,0.21435,0.94596,0.002575,0.002575,0.002575
77,4515.26,0.51215,0.27806,0.97125,0.98455,0.98591,0.99146,0.91517,0.4574,0.20319,0.94381,0.002476,0.002476,0.002476
78,4573.6,0.50791,0.2738,0.97152,0.98579,0.98768,0.99203,0.91612,0.46005,0.20471,0.94512,0.002377,0.002377,0.002377
79,4632.2,0.50843,0.27079,0.96884,0.98701,0.98749,0.99223,0.92032,0.45649,0.20308,0.94464,0.002278,0.002278,0.002278
80,4690.38,0.51278,0.26767,0.97417,0.98867,0.98985,0.99416,0.92157,0.45379,0.18941,0.94151,0.002179,0.002179,0.002179
81,4749.44,0.49971,0.26744,0.96454,0.98805,0.98854,0.99448,0.92106,0.45478,0.1886,0.94196,0.00208,0.00208,0.00208
82,4808,0.50947,0.26847,0.96861,0.99005,0.989,0.99452,0.92309,0.45493,0.18682,0.94281,0.001981,0.001981,0.001981
83,4866.02,0.50291,0.26953,0.9705,0.99085,0.98942,0.9946,0.92269,0.45428,0.18534,0.9415,0.001882,0.001882,0.001882
84,4924.53,0.49882,0.26269,0.96415,0.98745,0.9889,0.9941,0.92115,0.45319,0.19355,0.94091,0.001783,0.001783,0.001783
85,4983.13,0.5068,0.26371,0.96997,0.98606,0.98614,0.99334,0.92195,0.45345,0.19545,0.94101,0.001684,0.001684,0.001684
86,5041.77,0.49922,0.26011,0.96555,0.98597,0.98582,0.99325,0.92361,0.45249,0.19836,0.93986,0.001585,0.001585,0.001585
87,5100.24,0.49689,0.26044,0.96288,0.98568,0.98701,0.9934,0.92413,0.45516,0.19771,0.94135,0.001486,0.001486,0.001486
88,5158.74,0.49673,0.25372,0.96671,0.98686,0.98757,0.99272,0.92252,0.45507,0.19592,0.94197,0.001387,0.001387,0.001387
89,5217.86,0.49536,0.25601,0.96536,0.98578,0.98952,0.99307,0.92297,0.45628,0.19546,0.94412,0.001288,0.001288,0.001288
90,5276.55,0.49161,0.25488,0.96161,0.98596,0.98979,0.9923,0.9209,0.45447,0.19977,0.9422,0.001189,0.001189,0.001189
91,5364.67,0.43407,0.19417,0.93491,0.98771,0.98659,0.99258,0.92056,0.45417,0.19659,0.94114,0.00109,0.00109,0.00109
92,5422.62,0.43204,0.19136,0.93942,0.98781,0.98787,0.99356,0.92096,0.45352,0.19085,0.94023,0.000991,0.000991,0.000991
93,5481.18,0.43054,0.19134,0.93087,0.98797,0.98723,0.99351,0.92188,0.45375,0.19331,0.9404,0.000892,0.000892,0.000892
94,5539.05,0.42746,0.18498,0.93207,0.98809,0.98723,0.99344,0.92146,0.45464,0.19316,0.94085,0.000793,0.000793,0.000793
95,5596.94,0.42734,0.1839,0.92909,0.98899,0.98797,0.99372,0.9215,0.45382,0.18979,0.94009,0.000694,0.000694,0.000694
96,5655.3,0.42436,0.18118,0.92926,0.98697,0.98943,0.9937,0.92065,0.45384,0.18947,0.9403,0.000595,0.000595,0.000595
97,5713.84,0.42281,0.17806,0.92951,0.98656,0.9906,0.99379,0.92146,0.45468,0.18853,0.9407,0.000496,0.000496,0.000496
98,5771.79,0.4226,0.17799,0.92562,0.98996,0.98742,0.99375,0.92299,0.45605,0.18872,0.94097,0.000397,0.000397,0.000397
99,5829.98,0.4165,0.17403,0.92925,0.98966,0.98817,0.9938,0.92262,0.45625,0.18824,0.94086,0.000298,0.000298,0.000298
100,5887.87,0.41618,0.17499,0.92638,0.98953,0.98798,0.9937,0.92289,0.45528,0.18787,0.94055,0.000199,0.000199,0.000199
