epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7256,0.86441,1.89309,1.12113,0.89572,0.34849,0.3294,0.27698,1.13842,3.07178,1.32772,0.0033266,0.0033266,0.0033266
2,149.818,0.83299,0.81357,1.08002,0.9035,0.34772,0.31963,0.2722,1.26775,3.13894,1.40708,0.00662697,0.00662697,0.00662697
3,221.412,0.85675,0.78675,1.0971,0.76655,0.35578,0.34244,0.27991,1.35929,3.38826,1.59571,0.00989433,0.00989433,0.00989433
4,293.001,0.86205,0.74446,1.10933,0.25903,0.25817,0.27581,0.22362,1.51381,3.42274,1.75935,0.0098515,0.0098515,0.0098515
5,364.532,0.83038,0.664,1.09372,0.29276,0.34881,0.33033,0.27798,1.36467,3.30743,1.55234,0.009802,0.009802,0.009802
6,436.591,0.81124,0.60578,1.08525,0.28025,0.3616,0.32955,0.28087,1.3436,3.51895,1.54675,0.0097525,0.0097525,0.0097525
7,508.441,0.79365,0.55463,1.0774,0.23447,0.33439,0.29242,0.24106,1.27232,3.60598,1.44287,0.009703,0.009703,0.009703
8,581.408,0.77521,0.52727,1.07002,0.30678,0.34573,0.34806,0.30444,1.27382,3.70064,1.47087,0.0096535,0.0096535,0.0096535
9,653.785,0.76102,0.50268,1.06864,0.2886,0.32316,0.31516,0.27008,1.29721,3.75439,1.4934,0.009604,0.009604,0.009604
10,726.499,0.7443,0.48106,1.06009,0.30176,0.36492,0.32733,0.28212,1.30365,3.86906,1.62326,0.0095545,0.0095545,0.0095545
11,798.858,0.73766,0.46619,1.05366,0.30535,0.36313,0.32235,0.27798,1.25686,3.84003,1.48526,0.009505,0.009505,0.009505
12,871.465,0.72288,0.4546,1.05436,0.31667,0.36711,0.35016,0.30657,1.23141,4.01196,1.49626,0.0094555,0.0094555,0.0094555
13,944.066,0.71573,0.44534,1.04926,0.31272,0.36819,0.32903,0.28607,1.30958,3.92922,1.65551,0.009406,0.009406,0.009406
14,1016.82,0.70663,0.43552,1.0457,0.29735,0.35262,0.3214,0.28196,1.22488,4.02227,1.50139,0.0093565,0.0093565,0.0093565
15,1088.4,0.69895,0.42197,1.04246,0.29111,0.35777,0.35038,0.30919,1.29222,4.1533,1.55582,0.009307,0.009307,0.009307
16,1158.7,0.69661,0.42335,1.04003,0.29242,0.36437,0.31784,0.27878,1.27905,4.12838,1.55121,0.0092575,0.0092575,0.0092575
17,1229.46,0.68709,0.41754,1.03799,0.3071,0.3216,0.32286,0.2853,1.26897,4.12397,1.57133,0.009208,0.009208,0.009208
18,1300.4,0.68003,0.41272,1.03959,0.30058,0.36581,0.35551,0.31087,1.27325,4.11155,1.55149,0.0091585,0.0091585,0.0091585
19,1370.97,0.67854,0.402,1.03649,0.28959,0.36429,0.31442,0.27844,1.25339,4.19447,1.55535,0.009109,0.009109,0.009109
20,1441.43,0.66977,0.40269,1.03178,0.30238,0.32036,0.31752,0.28167,1.2346,4.14697,1.48319,0.0090595,0.0090595,0.0090595
21,1512.49,0.66208,0.39644,1.02644,0.30313,0.36019,0.32539,0.28841,1.30552,4.12814,1.59785,0.00901,0.00901,0.00901
22,1583.04,0.66466,0.39797,1.03001,0.29259,0.3584,0.32168,0.28513,1.25177,4.33426,1.54949,0.0089605,0.0089605,0.0089605
23,1653.27,0.65839,0.38963,1.02925,0.295,0.35996,0.36367,0.32905,1.26287,4.32015,1.58745,0.008911,0.008911,0.008911
24,1724.32,0.65472,0.38292,1.02527,0.29589,0.36428,0.36269,0.32366,1.25323,4.30044,1.5621,0.0088615,0.0088615,0.0088615
25,1795.16,0.64694,0.38054,1.02081,0.3023,0.32135,0.32377,0.28798,1.26921,4.21199,1.58131,0.008812,0.008812,0.008812
26,1865.93,0.64294,0.37502,1.02056,0.28999,0.36417,0.31923,0.28504,1.27995,4.32168,1.56789,0.0087625,0.0087625,0.0087625
27,1936.86,0.64053,0.37427,1.02001,0.29842,0.35516,0.34177,0.30566,1.22415,4.31985,1.51622,0.008713,0.008713,0.008713
28,2007.6,0.63581,0.37027,1.01796,0.28184,0.36062,0.32052,0.28596,1.22028,4.42794,1.50623,0.0086635,0.0086635,0.0086635
29,2078.21,0.63294,0.36675,1.01441,0.28124,0.32025,0.31123,0.27819,1.24464,4.39109,1.56074,0.008614,0.008614,0.008614
